20110905093544 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2011-09-05T09:56:05Z        1318         722          596        0.5(0.49)      0(15)             0             0        18826         30848            1         720         361
2011-09-05T09:56:25Z        1318         712          606        0.5(0.49)      0(15)             0             0        15802         27136            1         710         356
2011-09-05T09:56:45Z        1318         702          616        0.5(0.49)      0(14)             0             0        16904         27136            1         700         351
2011-09-05T09:57:05Z        1318         692          626        0.5(0.49)      0(14)             0             0        17872         27136            1         690         346
2011-09-05T09:57:25Z        1318         682          636        0.5(0.49)      0(14)             0             0        18806         27136            1         680         341
2011-09-05T09:57:45Z        1446         800          646        0.5(0.49)      4(14)             0             0        17180         30208            1         798         400
2011-09-05T09:58:05Z        1446         790          656        0.5(0.49)     13(14)             0             0        18056         30208            1         788         395
2011-09-05T09:58:25Z        1446         780          666        0.5(0.49)     14(14)             0             0        19050         30208            1         778         390
2011-09-05T09:58:45Z        1446         770          676        0.5(0.49)     14(14)             0             0        19939         30208            1         768         385
2011-09-05T09:59:05Z        1446         760          686        0.5(0.49)     13(14)             0             0        15565         26944            1         758         380
2011-09-05T09:59:25Z        1446         750          696        0.5(0.49)     13(14)             0             0        16445         26944            1         748         375
2011-09-05T09:59:45Z        1494         788          706        0.5(0.49)     12(14)             0             0        18632         26944            1         786         394
2011-09-05T10:00:05Z        1494         778          716        0.5(0.49)     11(14)             0             0        19594         26944            1         776         389
2011-09-05T10:00:25Z        1494         769          725       0.45(0.49)     11(14)             0             0        15162         29760            1         767         384
2011-09-05T10:00:45Z        1600         865          735        0.5(0.49)      6(14)             0             0        18315         29760            1         863         432
2011-09-05T10:01:05Z        1600         855          745        0.5(0.49)      8(14)             0             0        19301         29760            1         853         427
2011-09-05T10:01:25Z        1600         845          755        0.5(0.49)      5(13)             0             0        20204         29760            1         843         422
2011-09-05T10:01:45Z        1600         835          765        0.5(0.49)      8(13)             0             0        16608         26816            1         833         417
2011-09-05T10:02:05Z        1600         825          775        0.5(0.49)      4(13)             0             0        17940         26816            1         823         412
2011-09-05T10:02:25Z        1644         859          785        0.5(0.49)      7(13)             0             0        19984         26816            1         857         429
2011-09-05T10:02:45Z        1644         849          795        0.5(0.49)     15(13)             0             0        15848         29184            1         847         424
2011-09-05T10:03:05Z        1644         839          805        0.5(0.49)     14(13)             0             0        16761         29184            1         837         419
2011-09-05T10:03:25Z        1724         909          815        0.5(0.49)     13(13)             0             0        19453         29184            1         907         454
2011-09-05T10:03:45Z        1724         899          825        0.5(0.49)     14(13)             0             0        15337         26688            1         897         449
2011-09-05T10:04:05Z        1724         890          834       0.45(0.49)     12(13)             0             0        16136         26688            1         888         445
2011-09-05T10:04:25Z        1724         880          844        0.5(0.49)     13(13)             0             0        17099         26688            1         878         440
2011-09-05T10:04:45Z        1766         912          854        0.5(0.49)     27(13)             0             0        19049         26688            1         910         456
2011-09-05T10:05:05Z        1766         902          864        0.5(0.49)     14(13)             0             0        17371         28800            1         900         451
2011-09-05T10:05:25Z        1868         994          874        0.5(0.49)     13(13)             0             0        16632         28352            1         992         497
2011-09-05T10:05:45Z        1868         984          884        0.5(0.49)     14(13)             0             0        18189         27840            1         982         492
2011-09-05T10:06:05Z        1868         974          894        0.5(0.49)     15(13)             0             0        18592         26496            1         972         487
2011-09-05T10:06:25Z        1868         964          904        0.5(0.49)     14(13)             0             0        19475         26496            1         962         482
2011-09-05T10:06:45Z        1868         954          914        0.5(0.49)     13(13)             0             0        15526         27648            1         952         477
2011-09-05T10:07:05Z        1868         945          923       0.45(0.49)     61(14)             0             0        16366         27648            1         943         472
2011-09-05T10:07:25Z        1911         978          933        0.5(0.49)     37(14)             0             0        15644         26112            1         976         489
2011-09-05T10:07:45Z        1911         968          943        0.5(0.49)     11(14)             0             0        16559         26112            1         966         484
2011-09-05T10:08:05Z        1911         958          953        0.5(0.49)      0(14)             0             0        17528         26112            1         956         479
2011-09-05T10:08:25Z        1911         948          963        0.5(0.49)      0(14)             0             0        18432         26112            1         946         474
2011-09-05T10:08:45Z        1911         938          973        0.5(0.49)      0(14)             0             0        19412         26112            1         936         469
2011-09-05T10:09:05Z        1911         928          983        0.5(0.49)      0(14)             0             0        15817         27392            1         926         464
2011-09-05T10:09:25Z        1911         918          993        0.5(0.49)      0(13)             0             0        16711         27392            1         916         459
2011-09-05T10:09:45Z        1911         908         1003        0.5(0.49)     46(14)             0             0        17722         27392            1         906         454
2011-09-05T10:10:05Z        1911         899         1012       0.45(0.49)     98(15)             0             0        18559         27392            1         897         449
2011-09-05T10:10:25Z        1911         889         1022        0.5(0.49)     97(15)             0             0        19531         27392            1         887         444
2011-09-05T10:10:45Z        1911         879         1032        0.5(0.49)    121(16)             0             0        15986         26048            1         877         439
2011-09-05T10:11:05Z        1911         870         1041       0.45(0.49)     46(17)             0             0        17279         26048            1         868         435
2011-09-05T10:11:25Z        1911         860         1051        0.5(0.49)     16(17)             0             0        16740         27072            1         858         430
2011-09-05T10:11:45Z        1911         850         1061        0.5(0.49)      0(16)             0             0        17985         27072            1         848         425
2011-09-05T10:12:05Z        1911         840         1071        0.5(0.49)      0(16)             0             0        18964         27072            1         838         420
2011-09-05T10:12:25Z        1911         830         1081        0.5(0.49)      0(16)             0             0        19896         27072            1         828         415
2011-09-05T10:12:45Z        1911         820         1091        0.5(0.49)      0(16)             0             0        16867         25856            1         818         410
2011-09-05T10:13:05Z        1911         810         1101        0.5(0.49)      0(16)             0             0        17829         25856            1         808         405
2011-09-05T10:13:25Z        1911         800         1111        0.5(0.49)      0(16)             0             0        18728         25856            1         798         400
2011-09-05T10:13:45Z        1911         790         1121        0.5(0.49)      0(16)             0             0        19756         25856            1         788         395
2011-09-05T10:14:05Z        1911         780         1131        0.5(0.49)      0(15)             0             0        16435         26816            1         778         390
2011-09-05T10:14:25Z        1911         770         1141        0.5(0.49)      0(15)             0             0        17353         26816            1         768         385
2011-09-05T10:14:45Z        1911         760         1151        0.5(0.49)      0(15)             0             0        18289         26816            1         758         380
2011-09-05T10:15:05Z        1911         750         1161        0.5(0.49)      0(15)             0             0        19256         26816            1         748         375
2011-09-05T10:15:25Z        1911         740         1171        0.5(0.49)      0(15)             0             0        15909         25792            1         738         370
2011-09-05T10:15:45Z        1911         730         1181        0.5(0.49)      0(15)             0             0        16797         25792            1         728         365
2011-09-05T10:16:05Z        1911         720         1191        0.5(0.49)      0(15)             0             0        17804         25792            1         718         360
2011-09-05T10:16:25Z        1911         710         1201        0.5(0.49)      0(15)             0             0        18692         25792            1         708         355
2011-09-05T10:16:45Z        1911         700         1211        0.5(0.49)      0(14)             0             0        19665         25792            1         698         350
2011-09-05T10:17:05Z        1911         690         1221        0.5(0.49)      0(14)             0             0        16416         26496            1         688         345
2011-09-05T10:17:25Z        1911         681         1230       0.45(0.49)      0(14)             0             0        17239         26496            1         679         340
2011-09-05T10:17:45Z        1911         671         1240        0.5(0.49)      0(14)             0             0        18179         26496            1         669         335
2011-09-05T10:18:05Z        1911         661         1250        0.5(0.49)      0(14)             0             0        19154         26496            1         659         330
2011-09-05T10:18:25Z        1911         651         1260        0.5(0.49)      0(14)             0             0        15957         25600            1         649         325
2011-09-05T10:18:45Z        1911         641         1270        0.5(0.49)      0(14)             0             0        16845         25600            1         639         320
2011-09-05T10:19:05Z        1911         631         1280        0.5(0.49)      0(14)             0             0        17815         25600            1         629         315
2011-09-05T10:19:25Z        1911         621         1290        0.5(0.49)      0(14)             0             0        18695         25600            1         619         310
2011-09-05T10:19:45Z        1911         611         1300        0.5(0.49)      0(13)             0             0        19681         25600            1         609         305
2011-09-05T10:20:05Z        1911         601         1310        0.5(0.49)      0(13)             0             0        16571         26368            1         599         300
2011-09-05T10:20:25Z        1911         591         1320        0.5(0.49)     94(14)             0             0        17576         26368            1         589         295
2011-09-05T10:20:45Z        1911         581         1330        0.5(0.49)    166(15)             0             0        18518         26368            1         579         290
2011-09-05T10:21:05Z        1911         572         1339       0.45(0.49)    148(16)             0             0        19565         26368            1         570         286
2011-09-05T10:21:25Z        1911         562         1349        0.5(0.49)     82(17)             0             0        16511         25472            1         560         281
2011-09-05T10:21:45Z        1911         552         1359        0.5(0.49)      0(16)             0             0        17580         25472            1         550         276
2011-09-05T10:22:05Z        1911         542         1369        0.5(0.49)      0(16)             0             0        18485         25472            1         540         271
2011-09-05T10:22:25Z        1911         532         1379        0.5(0.49)      0(16)             0             0        19458         25472            1         530         266
2011-09-05T10:22:45Z        1911         522         1389        0.5(0.49)      0(16)             0             0        16459         26048            1         520         261
2011-09-05T10:23:05Z        1911         512         1399        0.5(0.49)      0(16)             0             0        17433         26048            1         510         256
2011-09-05T10:23:25Z        1911         502         1409        0.5(0.49)      0(16)             0             0        18311         26048            1         500         251
2011-09-05T10:23:45Z        1911         492         1419        0.5(0.49)      0(16)             0             0        19278         26048            1         490         246
2011-09-05T10:24:05Z        1911         482         1429        0.5(0.49)      0(16)             0             0        16347         25408            1         480         241
2011-09-05T10:24:25Z        1911         472         1439        0.5(0.49)      0(15)             0             0        17229         25408            1         470         236
2011-09-05T10:24:45Z        1911         462         1449        0.5(0.49)      0(15)             0             0        18193         25408            1         460         231
